"0.surveyname","0.questiontext","0.varname","0.selectedoption","1.surveyname","1.questiontext","1.varname","1.selectedoption","2.surveyname","2.questiontext","2.varname","2.selectedoption","3.surveyname","3.questiontext","3.varname","3.selectedoption","4.surveyname","4.questiontext","4.varname","4.selectedoption","5.surveyname","5.questiontext","5.varname","5.selectedoption","6.surveyname","6.questiontext","6.varname","6.selectedoption","7.surveyname","7.questiontext","7.varname","7.selectedoption","8.surveyname","8.questiontext","8.varname","8.selectedoption","9.surveyname","9.questiontext","9.varname","9.selectedoption","creationdatetime","submissiontime"
"mfq","Everyone should try to comfort people who are going through something hard.","mfq_5","1","mfq","I believe it would be ideal if everyone in society wound up with roughly the same amount of money.","mfq_10","2","mfq","The effort a worker puts into a job ought to be reflected in the size of a raise they receive.","mfq_15","3","mfq","In a fair society, those who work hard should live with higher standards of living.","mfq_17","4","mfq","I think children should be taught to be loyal to their country.","mfq_19","5","mfq","Everyone should defend their country, if called upon.","mfq_22","6","mfq","I think it is important for societies to cherish their traditional values.","mfq_25","7","mfq","I think the human body should be treated like a temple, housing something sacred within.","mfq_31","1","mfq","If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them","mfq_34","2","mfq","I admire people who keep their virginity until marriage.","mfq_36","3","2022-04-10T19:00:11.503Z",20093
"mfq","Our society would have fewer problems if people had the same income.","mfq_8","1","mfq","I believe that everyone should be given the same quantity of resources in life.","mfq_9","1","mfq","The effort a worker puts into a job ought to be reflected in the size of a raise they receive.","mfq_15","1","mfq","In a fair society, those who work hard should live with higher standards of living.","mfq_17","1","mfq","I feel good when I see cheaters get caught and punished.","mfq_18","1","mfq","I think children should be taught to be loyal to their country.","mfq_19","1","mfq","It upsets me when people have no loyalty to their country.","mfq_20","1","mfq","I think it is important for societies to cherish their traditional values.","mfq_25","1","mfq","I think obedience to parents is an important virtue.","mfq_27","1","mfq","People should try to use natural medicines rather than chemically identical human-made ones.","mfq_35","1",NaN,59770
"mfq","Caring for people who have suffered is an important virtue.","mfq_1","1","mfq","We should all care for people who are in emotional pain.","mfq_3","1","mfq","The world would be a better place if everyone made the same amount of money.","mfq_7","1","mfq","I think people who are more hard-working should end up with more money.","mfq_13","1","mfq","It makes me happy when people are recognized on their merits.","mfq_16","1","mfq","In a fair society, those who work hard should live with higher standards of living.","mfq_17","1","mfq","Everyone should feel proud when a person in their community wins in an international competition.","mfq_23","1","mfq","We all need to learn from our elders.","mfq_28","1","mfq","I believe that one of the most important values to teach children is to have respect for authority.","mfq_29","1","mfq","I think the human body should be treated like a temple, housing something sacred within.","mfq_31","1",NaN,14654
"mfq","We should all care for people who are in emotional pain.","mfq_3","1","mfq","It makes me happy when people are recognized on their merits.","mfq_16","1","mfq","I feel good when I see cheaters get caught and punished.","mfq_18","1","mfq","It upsets me when people have no loyalty to their country.","mfq_20","1","mfq","Everyone should feel proud when a person in their community wins in an international competition.","mfq_23","1","mfq","I feel that most traditions serve a valuable function in keeping society orderly","mfq_26","1","mfq","I think obedience to parents is an important virtue.","mfq_27","1","mfq","I believe that one of the most important values to teach children is to have respect for authority.","mfq_29","1","mfq","It upsets me when people use foul language like it is nothing.","mfq_33","1","mfq","People should try to use natural medicines rather than chemically identical human-made ones.","mfq_35","1",NaN,9948
"mfq","I am empathetic toward those people who have suffered in their lives.","mfq_4","1","mfq","I believe that everyone should be given the same quantity of resources in life.","mfq_9","1","mfq","When people work together toward a common goal, they should share the rewards equally, even if some worked harder on it.","mfq_11","1","mfq","I get upset when some people have a lot more money than others in my country.","mfq_12","1","mfq","Everyone should love their own community.","mfq_21","1","mfq","Everyone should defend their country, if called upon.","mfq_22","1","mfq","I think it is important for societies to cherish their traditional values.","mfq_25","1","mfq","We all need to learn from our elders.","mfq_28","1","mfq","It upsets me when people use foul language like it is nothing.","mfq_33","1","mfq","I admire people who keep their virginity until marriage.","mfq_36","1",NaN,11792
"mfq","We should all care for people who are in emotional pain.","mfq_3","1","mfq","Everyone should try to comfort people who are going through something hard.","mfq_5","1","mfq","I get upset when some people have a lot more money than others in my country.","mfq_12","1","mfq","I think people who are more hard-working should end up with more money.","mfq_13","1","mfq","In a fair society, those who work hard should live with higher standards of living.","mfq_17","1","mfq","I feel good when I see cheaters get caught and punished.","mfq_18","1","mfq","I feel that most traditions serve a valuable function in keeping society orderly","mfq_26","1","mfq","I believe that one of the most important values to teach children is to have respect for authority.","mfq_29","1","mfq","It upsets me when people use foul language like it is nothing.","mfq_33","1","mfq","If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them","mfq_34","1",NaN,58880
"mfq","Caring for people who have suffered is an important virtue.","mfq_1","1","mfq","I believe that compassion for those who are suffering is one of the most crucial virtues.","mfq_2","1","mfq","The world would be a better place if everyone made the same amount of money.","mfq_7","1","mfq","I believe it would be ideal if everyone in society wound up with roughly the same amount of money.","mfq_10","1","mfq","I think children should be taught to be loyal to their country.","mfq_19","1","mfq","Everyone should feel proud when a person in their community wins in an international competition.","mfq_23","1","mfq","I think obedience to parents is an important virtue.","mfq_27","1","mfq","I think having a strong leader is good for society.","mfq_30","1","mfq","I think the human body should be treated like a temple, housing something sacred within.","mfq_31","1","mfq","If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them","mfq_34","1",NaN,52658
"mfq","Caring for people who have suffered is an important virtue.","mfq_1","1","mfq","I believe that compassion for those who are suffering is one of the most crucial virtues.","mfq_2","1","mfq","The world would be a better place if everyone made the same amount of money.","mfq_7","1","mfq","I believe it would be ideal if everyone in society wound up with roughly the same amount of money.","mfq_10","1","mfq","I think children should be taught to be loyal to their country.","mfq_19","1","mfq","Everyone should feel proud when a person in their community wins in an international competition.","mfq_23","1","mfq","I think obedience to parents is an important virtue.","mfq_27","1","mfq","I think having a strong leader is good for society.","mfq_30","1","mfq","I think the human body should be treated like a temple, housing something sacred within.","mfq_31","1","mfq","If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them","mfq_34","1",NaN,57212
"mfq","Caring for people who have suffered is an important virtue.","mfq_1","1","mfq","I get upset when some people have a lot more money than others in my country.","mfq_12","1","mfq","I think children should be taught to be loyal to their country.","mfq_19","1","mfq","It upsets me when people have no loyalty to their country.","mfq_20","1","mfq","Everyone should love their own community.","mfq_21","1","mfq","I believe the strength of a sports team comes from the loyalty of its members to each other.","mfq_24","1","mfq","I feel that most traditions serve a valuable function in keeping society orderly","mfq_26","1","mfq","We all need to learn from our elders.","mfq_28","1","mfq","I believe chastity is an important virtue.","mfq_32","1","mfq","I admire people who keep their virginity until marriage.","mfq_36","1",NaN,9145
"mfq","Everyone should try to comfort people who are going through something hard.","mfq_5","1","mfq","The world would be a better place if everyone made the same amount of money.","mfq_7","1","mfq","I believe that everyone should be given the same quantity of resources in life.","mfq_9","1","mfq","I think people who are more hard-working should end up with more money.","mfq_13","1","mfq","I think people should be rewarded in proportion to what they contribute.","mfq_14","1","mfq","Everyone should defend their country, if called upon.","mfq_22","1","mfq","I believe the strength of a sports team comes from the loyalty of its members to each other.","mfq_24","1","mfq","I think it is important for societies to cherish their traditional values.","mfq_25","1","mfq","We all need to learn from our elders.","mfq_28","1","mfq","I think the human body should be treated like a temple, housing something sacred within.","mfq_31","1",NaN,8883
